GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
job4j_tracker,ru.job4j_tracker,StubInput,30,0,0,0,7,0,4,0,4,0
job4j_tracker,ru.job4j_tracker,FindNameAction,45,0,2,0,9,0,4,0,3,0
job4j_tracker,ru.job4j_tracker,ValidateInput,39,0,2,0,16,0,5,0,4,0
job4j_tracker,ru.job4j_tracker,ConsoleInput,51,0,4,0,9,0,6,0,4,0
job4j_tracker,ru.job4j_tracker,DeleteAction,22,0,2,0,7,0,4,0,3,0
job4j_tracker,ru.job4j_tracker,ExitAction,13,0,0,0,7,0,3,0,3,0
job4j_tracker,ru.job4j_tracker,StartUI,145,0,4,0,28,0,8,0,6,0
job4j_tracker,ru.job4j_tracker,StubAction,16,0,0,0,6,0,4,0,4,0
job4j_tracker,ru.job4j_tracker,ConnectionRollback,3,35,0,2,1,9,1,3,1,2
job4j_tracker,ru.job4j_tracker,MemTracker,135,0,14,0,38,0,15,0,8,0
job4j_tracker,ru.job4j_tracker,CreateAction,23,0,0,0,7,0,3,0,3,0
job4j_tracker,ru.job4j_tracker,SqlTracker,66,208,7,11,29,62,9,10,2,8
job4j_tracker,ru.job4j_tracker,FindAllAction,40,0,2,0,8,0,4,0,3,0
job4j_tracker,ru.job4j_tracker,Item,4,16,0,0,2,7,1,4,1,4
job4j_tracker,ru.job4j_tracker,FindIdAction,37,0,2,0,8,0,4,0,3,0
job4j_tracker,ru.job4j_tracker,ReplaceAction,32,0,2,0,9,0,4,0,3,0
